date,day_of_week,workingday,total_rides
2011-01-01,6,weekend,654
2011-01-02,0,weekend,670
2011-01-03,1,workday,1229
2011-01-04,2,workday,1454
2011-01-05,3,workday,1518
2011-01-06,4,workday,1518
2011-01-07,5,workday,1362
2011-01-08,6,weekend,891
2011-01-09,0,weekend,768
2011-01-10,1,workday,1280
2011-01-11,2,workday,1220
2011-01-12,3,workday,1137
2011-01-13,4,workday,1368
2011-01-14,5,workday,1367
2011-01-15,6,weekend,1026
2011-01-16,0,weekend,953
2011-01-17,1,weekend,883
2011-01-18,2,workday,674
2011-01-19,3,workday,1572
2011-01-20,4,workday,1844
2011-01-21,5,workday,1468
2011-01-22,6,weekend,888
2011-01-23,0,weekend,836
2011-01-24,1,workday,1330
2011-01-25,2,workday,1799
2011-01-26,3,workday,472
2011-01-27,4,workday,416
2011-01-28,5,workday,1129
2011-01-29,6,weekend,975
2011-01-30,0,weekend,956
2011-01-31,1,workday,1459
2011-02-01,2,workday,1313
2011-02-02,3,workday,1454
2011-02-03,4,workday,1489
2011-02-04,5,workday,1620
2011-02-05,6,weekend,905
2011-02-06,0,weekend,1269
2011-02-07,1,workday,1592
2011-02-08,2,workday,1466
2011-02-09,3,workday,1552
2011-02-10,4,workday,1491
2011-02-11,5,workday,1597
2011-02-12,6,weekend,1184
2011-02-13,0,weekend,1192
2011-02-14,1,workday,1705
2011-02-15,2,workday,1675
2011-02-16,3,workday,1897
2011-02-17,4,workday,2216
2011-02-18,5,workday,2348
2011-02-19,6,weekend,1103
2011-02-20,0,weekend,1173
2011-02-21,1,weekend,912
2011-02-22,2,workday,1376
2011-02-23,3,workday,1778
2011-02-24,4,workday,1707
2011-02-25,5,workday,1341
2011-02-26,6,weekend,1545
2011-02-27,0,weekend,1708
2011-02-28,1,workday,1365
2011-03-01,2,workday,1714
2011-03-02,3,workday,1903
2011-03-03,4,workday,1562
2011-03-04,5,workday,1730
2011-03-05,6,weekend,1437
2011-03-06,0,weekend,491
2011-03-07,1,workday,1628
2011-03-08,2,workday,1817
2011-03-09,3,workday,1700
2011-03-10,4,workday,577
2011-03-11,5,workday,1730
2011-03-12,6,weekend,1408
2011-03-13,0,weekend,1435
2011-03-14,1,workday,1687
2011-03-15,2,workday,1767
2011-03-16,3,workday,1871
2011-03-17,4,workday,2320
2011-03-18,5,workday,2355
2011-03-19,6,weekend,1693
2011-03-20,0,weekend,1424
2011-03-21,1,workday,1676
2011-03-22,2,workday,2243
2011-03-23,3,workday,1918
2011-03-24,4,workday,1699
2011-03-25,5,workday,1910
2011-03-26,6,weekend,1515
2011-03-27,0,weekend,1221
2011-03-28,1,workday,1806
2011-03-29,2,workday,2108
2011-03-30,3,workday,1368
2011-03-31,4,workday,1506
2011-04-01,5,workday,1920
2011-04-02,6,weekend,1354
2011-04-03,0,weekend,1598
2011-04-04,1,workday,2381
2011-04-05,2,workday,1628
2011-04-06,3,workday,2395
2011-04-07,4,workday,2570
2011-04-08,5,workday,1299
2011-04-09,6,weekend,1576
2011-04-10,0,weekend,1707
2011-04-11,1,workday,2493
2011-04-12,2,workday,1777
2011-04-13,3,workday,1953
2011-04-14,4,workday,2738
2011-04-15,5,weekend,2484
2011-04-16,6,weekend,674
2011-04-17,0,weekend,2186
2011-04-18,1,workday,2760
2011-04-19,2,workday,2795
2011-04-20,3,workday,3331
2011-04-21,4,workday,3444
2011-04-22,5,workday,1506
