date,rider_type,rides,season,year,holiday,workingday,day_of_week,weather_type,temp,feels_like,humidity,wind_speed
2011-01-01,casual,331,W,2011,N,weekend,6,2,8.175849,7.99925,0.805833,10.749882
2011-01-01,registered,654,W,2011,N,weekend,6,2,8.175849,7.99925,0.805833,10.749882
2011-01-02,casual,131,W,2011,N,weekend,0,2,9.083466000000001,7.3467740000000035,0.696087,16.652113
2011-01-02,registered,670,W,2011,N,weekend,0,2,9.083466000000001,7.3467740000000035,0.696087,16.652113
2011-01-03,casual,120,W,2011,N,workday,1,1,1.229108,-3.499270000000001,0.437273,16.636703
2011-01-03,registered,1229,W,2011,N,workday,1,1,1.229108,-3.499270000000001,0.437273,16.636703
2011-01-04,casual,108,W,2011,N,workday,2,1,1.4000000000000004,-1.9999479999999998,0.590435,10.739832
2011-01-04,registered,1454,W,2011,N,workday,2,1,1.4000000000000004,-1.9999479999999998,0.590435,10.739832
2011-01-05,casual,82,W,2011,N,workday,3,1,2.6669789999999995,-0.8681800000000006,0.436957,12.522300000000001
2011-01-05,registered,1518,W,2011,N,workday,3,1,2.6669789999999995,-0.8681800000000006,0.436957,12.522300000000001
2011-01-06,casual,88,W,2011,N,workday,4,1,1.6043559999999992,-0.6082059999999991,0.518261,6.0008684
2011-01-06,registered,1518,W,2011,N,workday,4,1,1.6043559999999992,-0.6082059999999991,0.518261,6.0008684
2011-01-07,casual,148,W,2011,N,workday,5,2,1.2365340000000007,-2.2166259999999998,0.498696,11.304642
2011-01-07,registered,1362,W,2011,N,workday,5,2,1.2365340000000007,-2.2166259999999998,0.498696,11.304642
2011-01-08,casual,68,W,2011,N,weekend,6,2,-0.24499999999999922,-5.291236,0.535833,17.875868
2011-01-08,registered,891,W,2011,N,weekend,6,2,-0.24499999999999922,-5.291236,0.535833,17.875868
2011-01-09,casual,54,W,2011,N,weekend,0,1,-1.4983489999999993,-8.33245,0.434167,24.25065
2011-01-09,registered,768,W,2011,N,weekend,0,1,-1.4983489999999993,-8.33245,0.434167,24.25065
2011-01-10,casual,41,W,2011,N,workday,1,1,-0.9108490000000007,-6.041392,0.482917,14.958889
2011-01-10,registered,1280,W,2011,N,workday,1,1,-0.9108490000000007,-6.041392,0.482917,14.958889
2011-01-11,casual,43,W,2011,N,workday,2,2,-0.0527230000000003,-3.3633760000000006,0.686364,8.182844000000001
2011-01-11,registered,1220,W,2011,N,workday,2,2,-0.0527230000000003,-3.3633760000000006,0.686364,8.182844000000001
2011-01-12,casual,25,W,2011,N,workday,3,1,0.11816899999999997,-5.408782,0.599545,20.410009
2011-01-12,registered,1137,W,2011,N,workday,3,1,0.11816899999999997,-5.408782,0.599545,20.410009
2011-01-13,casual,38,W,2011,N,workday,4,1,-0.24499999999999922,-6.041722,0.470417,20.166999999999998
2011-01-13,registered,1368,W,2011,N,workday,4,1,-0.24499999999999922,-6.041722,0.470417,20.166999999999998
2011-01-14,casual,54,W,2011,N,workday,5,1,-0.43910999999999945,-3.5647420000000007,0.537826,8.478716
2011-01-14,registered,1367,W,2011,N,workday,5,1,-0.43910999999999945,-3.5647420000000007,0.537826,8.478716
2011-01-15,casual,222,W,2011,N,weekend,6,2,2.9666510000000006,0.3753920000000015,0.49875,10.583521
2011-01-15,registered,1026,W,2011,N,weekend,6,2,2.9666510000000006,0.3753920000000015,0.49875,10.583521
2011-01-16,casual,251,W,2011,N,weekend,0,1,2.888349,-0.5416779999999992,0.48375,12.625010999999999
